[2018-06-09 17:07:05,894] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:28} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:07:40,303] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:15} INFO - Process Start
[2018-06-09 17:07:40,303] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:17} INFO - Reading Config
[2018-06-09 17:07:40,303] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:28} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:08:25,236] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:15} INFO - Process Start
[2018-06-09 17:08:25,239] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:17} INFO - Reading Config
[2018-06-09 17:08:25,239] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:28} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:09:19,019] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:15} INFO - Process Start
[2018-06-09 17:09:19,019] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:17} INFO - Reading Config
[2018-06-09 17:09:19,020] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:28} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:09:46,962] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:15} INFO - Process Start
[2018-06-09 17:09:46,963] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:17} INFO - Reading Config
[2018-06-09 17:09:46,963] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:28} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:10:44,927] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:15} INFO - Process Start
[2018-06-09 17:10:44,927] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:17} INFO - Reading Config
[2018-06-09 17:10:44,928] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:28} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:21:00,835] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:15} INFO - Process Start
[2018-06-09 17:21:00,835] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:17} INFO - Reading Config
[2018-06-09 17:21:00,836] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:28} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:22:20,326] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:15} INFO - Process Start
[2018-06-09 17:22:20,327] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:17} INFO - Reading Config
[2018-06-09 17:22:20,327] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:28} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:28:59,942] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 17:28:59,943] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 17:28:59,943] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:42:07,559] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 17:42:07,559] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 17:42:07,560] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:43:33,829] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 17:43:33,829] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 17:43:33,830] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:43:59,295] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 17:43:59,296] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 17:43:59,296] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:44:57,276] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 17:44:57,277] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 17:44:57,277] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:46:36,873] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 17:46:36,874] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 17:46:36,874] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:47:49,967] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 17:47:49,967] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 17:47:49,967] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:48:38,947] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 17:48:38,947] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 17:48:38,948] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:49:17,510] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 17:49:17,510] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 17:49:17,510] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:49:58,749] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 17:49:58,750] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 17:49:58,750] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 17:56:45,048] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 17:56:45,049] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
